input,output,model,bleu,bert,cosine,final_score,back_translation
"Dharwad peda (Kannada: ) is an Indian sweet delicacy unique to the state of Karnataka, India.",ਧਰਮਵਦ ਪੇੜਾ (ਕੰਨੜਃ) ਭਾਰਤ ਦੇ ਕਰਨਾਟਕ ਰਾਜ ਵਿੱਚ ਇੱਕ ਭਾਰਤੀ ਮਿੱਠੀ ਖ਼ੁਸ਼ੀ ਹੈ।,NLLB,0.3651,0.8697,0.3076,0.7572,Dharmavad Peda (Kannada: धर्मवद पेड़ा) is an Indian sweet delight in the Indian state of Karnataka.
New Publications To Meet Special Needs,ਵਿਸ਼ੇਸ਼ ਲੋੜਾਂ ਪੂਰੀਆਂ ਕਰਨ ਲਈ ਨਵੀਆਂ ਪਬਲਿਕੇਸ਼ਨ,NLLB,0.0577,0.9193,0.1998,0.7754,New publications to meet specific needs
Default sound type in the alarm edit dialog.,ਅਲਾਰਮ ਸੰਪਾਦਨ ਡਾਈਲਾਗ ਵਿੱਚ ਡਿਫਾਲਟ ਆਵਾਜ਼ ਟਾਈਪ ਕਰੋ ।,NLLB,0.2357,0.9513,0.3496,0.8309,Type the default sound in the Alarm Edit dialog.
"Sometimes, though, discussion about the lives of others is motivated by something other than concern.",ਪਰ ਕਈ ਵਾਰ ਦੂਸਰਿਆਂ ਦੀ ਜ਼ਿੰਦਗੀ ਬਾਰੇ ਗੱਲ ਕਰਨ ਦਾ ਮਕਸਦ ਚਿੰਤਾ ਤੋਂ ਇਲਾਵਾ ਕੁਝ ਹੋਰ ਕਰਕੇ ਹੁੰਦਾ ਹੈ ।,NLLB,0.0577,0.938,-0.0276,0.7449,But sometimes the purpose of talking about other people's lives is more than worry.
You can be sure that you will never regret it!,ਤੁਸੀਂ ਯਕੀਨੀ ਕਰ ਸਕਦੇ ਹੋ ਕਿ ਤੁਸੀਂ ਇਸ ਨੂੰ ਕਦੇ ਨਹੀਂ ਪਸੰਦ ਕਰੇਗਾ!,M2M,0.8367,0.9588,0.3152,0.8301,You can be sure that you will never like it!
"Questioned on the possibility of a post poll tie-up between the Congress and the SP-BSP-RLD grand alliance, he said the Congress is fighting on its own might and the results will be there for all parties to see.","ਕਾਂਗਰਸ ਅਤੇ ਐਸਪੀ-ਬੀਐਸਪੀ, ਆਰਐਲਡੀ ਦੇ ਗ੍ਰੇਡ ਅਲਾਇੰਸ ਵਿਚਾਲੇ ਚੋਣਾਂ ਤੋਂ ਬਾਅਦ ਟਾਈ-ਅੱਪ ਦੀ ਸੰਭਾਵਨਾ ਬਾਰੇ ਪੁੱਛੇ ਜਾਣ 'ਤੇ ਉਨ੍ਹਾਂ ਕਿਹਾ ਕਿ ਪਾਰਟੀ ਆਪਣੀ ਤਾਕਤ ਨਾਲ ਲੜ ਰਹੀ ਹੈ ਅਤੇ ਨਤੀਜੇ ਸਾਰੀਆਂ ਪਾਰਟੀਆਂ ਦੇ ਸਾਹਮਣੇ ਆਉਣਗੇ।",NLLB,0.423,0.9424,0.432,0.8403,"Asked about the possibility of tie-up after the election between the Congress and the SP-BSP, RLD's Grade Alliance, he said the party is fighting with its strength and the results will come out to all parties."
© (#169;) Copyright,© (# 169;) ਕਾਪੀਰਾਈਟ,M2M,0.1291,0.9837,0.9094,0.9688,© (# 169;) Copyright
"It is a layer in Earth`s atmosphere, that has relatively high concentrations of ozone.","ਇਹ ਧਰਤੀ ਦੇ ਵਾਯੂਮੰਡਲ ਵਿੱਚ ਇੱਕ ਪਰਤ ਹੈ, ਜਿਸ ਵਿੱਚ ਓਜ਼ੋਨ ਦੀ ਮੁਕਾਬਲਤਨ ਉੱਚ ਤਵੱਜੋ ਹੈ।",NLLB,0.5071,0.967,0.064,0.7864,It is a layer in the Earth's atmosphere with a relatively high concentration of ozone.
I vividly recall our meetings on the sidelines of G-20.,ਮੈਂ G-20 ਦੇ ਸਟੀਲ ਲਾਈਨਾਂ 'ਤੇ ਸਾਡੇ ਮੀਟਿੰਗਾਂ ਨੂੰ ਹਿੱਸਾ ਰੱਖਦੇ ਹਾਂ।,M2M,0.4045,0.9266,0.714,0.8841,I attend our meetings on the Steel Lines of the G20.
URI of an image file to burn (autodetected),ਚਿੱਤਰ ਕਰਨ ਲਈ ਈਮੇਜ਼ ਫਾਇਲ ਦੀ URI (ਆਟੋਡੈੱਟ ਕੀਤਾ),M2M,0.5181,0.9151,0.3537,0.8028,URI of image file to image (automated)
Accessible Table Summary,ਉਪਲੱਬਧ ਟੇਬਲ ਸਮੱਗਰੀ,M2M,0.0,0.9041,0.4474,0.8128,Available table materials
Sample rate: %1 %2,ਸੈਂਪਲ ਰੀਸ:% 1% 2,M2M,0.0913,0.91,0.8198,0.892,Sample rice:% 1% 2
